x,XSin(x)
0,0
0.1,0.009983
0.2,0.039734
0.3,0.088656
0.4,0.155767
0.5,0.239713
0.6,0.338785
0.7,0.450952
0.8,0.573885
0.9,0.704994
1,0.841471
1.1,0.980328
1.2,1.118447
1.3,1.252626
1.4,1.37963
1.5,1.496242
1.6,1.599318
1.7,1.68583
1.8,1.752926
1.9,1.79797
2,1.818595
2.1,1.81274
2.2,1.778692
2.3,1.715122
2.4,1.621112
2.5,1.49618
2.6,1.340304
2.7,1.153926
2.8,0.937967
2.9,0.693823
3,0.42336
3.1,0.1289
3.2,-0.186797
3.3,-0.520561
3.4,-0.86884
3.5,-1.227741
3.6,-1.593074
3.7,-1.960394
3.8,-2.32506
3.9,-2.682288
4,-3.02721
4.1,-3.354936
4.2,-3.660618
4.3,-3.939514
4.4,-4.187049
4.5,-4.398886
4.6,-4.570979
4.7,-4.699639
4.8,-4.78159
4.9,-4.814018
5,-4.794621
5.1,-4.721655
5.2,-4.593964
5.3,-4.411017
5.4,-4.172928
5.5,-3.880472
5.6,-3.535093
5.7,-3.138908
5.8,-2.694693
5.9,-2.205872
6,-1.676493
6.1,-1.111191
6.2,-0.515154
6.3,0.105928
6.4,0.745915
6.5,1.39828
6.6,2.056173
6.7,2.712494
6.8,3.359971
6.9,3.991234
7,4.598906
7.1,5.17568
7.2,5.714409
7.3,6.208187
7.4,6.65044
7.5,7.035
7.6,7.35619
7.7,7.608895
7.8,7.788638
7.9,7.891637
8,7.914866
8.1,7.856107
8.2,7.713991
8.3,7.488026
8.4,7.178631
8.5,6.78714
8.6,6.315815
8.7,5.767832
8.8,5.147271
8.9,4.459086
9,3.709066
9.1,2.903795
9.2,2.050587
9.3,1.157426
9.4,0.232889
9.5,-0.713936
9.6,-1.673537
9.7,-2.636078
9.8,-3.591495
9.9,-4.529605
10,-5.440211
10.1,-6.313214
10.2,-7.138722
10.3,-7.907164
10.4,-8.609395
10.5,-9.236805
10.6,-9.781419
10.7,-10.235995
10.8,-10.594111
10.9,-10.850255
11,-10.999892
11.1,-11.039534
11.2,-10.966791
11.3,-10.780418
11.4,-10.480345
11.5,-10.0677
11.6,-9.544812
11.7,-8.915208
11.8,-8.183596
11.9,-7.355832
12,-6.438875
12.1,-5.440734
12.2,-4.370397
12.3,-3.237751
12.4,-2.053492
12.5,-0.829024
12.6,0.42365
12.7,1.692047
12.8,2.963326
12.9,4.22442
13,5.462171
13.1,6.663465
13.2,7.81537
13.3,8.905278
13.4,9.921037
13.5,10.85109
13.6,11.684601
13.7,12.41158
13.8,13.023
13.9,13.510904
14,13.868503
14.1,14.090262
14.2,14.171978
14.3,14.110839
14.4,13.905472
14.5,13.555978
14.6,13.063951
14.7,12.432478
14.8,11.666131
14.9,10.770932
15,9.754318
15.1,8.625073
15.2,7.39326
15.3,6.070131
15.4,4.668023
15.5,3.200246
15.6,1.680957
15.7,0.125022
15.8,-1.452128
15.9,-3.034651
16,-4.606453
16.1,-6.15135
16.2,-7.653236
16.3,-9.096252
16.4,-10.46495
16.5,-11.744458
16.6,-12.920645
16.7,-13.980268
16.8,-14.911126
16.9,-15.702196
17,-16.343757
17.1,-16.827512
17.2,-17.146681
17.3,-17.296098
17.4,-17.272273
17.5,-17.073455
17.6,-16.699663
17.7,-16.152709
17.8,-15.436199
17.9,-14.555512
18,-13.51777
18.1,-12.331779
18.2,-11.007957
18.3,-9.558247
18.4,-7.996007
18.5,-6.335891
18.6,-4.59371
18.7,-2.786282
18.8,-0.93127
18.9,0.952989
19,2.847667
19.1,4.733633
19.2,6.591647
19.3,8.402551
19.4,10.147476
19.5,11.808027
19.6,13.366487
19.7,14.805996
19.8,16.11074
19.9,17.266118
20,18.258905
20.1,19.077404
20.2,19.711574
20.3,20.153158
20.4,20.395775
20.5,20.435011
20.6,20.268478
20.7,19.895861
20.8,19.318941
20.9,18.541592
21,17.569768
21.1,16.411457
21.2,15.076618
21.3,13.577101
21.4,11.926542
21.5,10.140239
21.6,8.235011
21.7,6.229043
21.8,4.14171
21.9,1.993391
22,-0.194729
22.1,-2.400869
22.2,-4.602869
22.3,-6.778411
22.4,-8.905247
22.5,-10.961427
22.6,-12.92552
22.7,-14.776844
22.8,-16.49568
22.9,-18.063481
23,-19.463069
23.1,-20.678828
23.2,-21.69687
23.3,-22.505194
23.4,-23.093824
23.5,-23.454928
23.6,-23.582913
23.7,-23.474507
23.8,-23.128803
23.9,-22.547295
24,-21.733881
24.1,-20.694839
24.2,-19.438789
24.3,-17.97662
24.4,-16.3214
24.5,-14.488259
24.6,-12.494256
24.7,-10.358215
24.8,-8.100551
24.9,-5.743078
25,-3.308794
25.1,-0.821658
25.2,1.693643
25.3,4.211944
25.4,6.707848
25.5,9.155988
25.6,11.531279
25.7,13.80918
25.8,15.965944
25.9,17.978865
26,19.82652
26.1,21.488991
26.2,22.948084
26.3,24.187522
26.4,25.193126
26.5,25.952978
26.6,26.457551
26.7,26.699833
26.8,26.67541
26.9,26.382531
27,25.82215
27.1,24.997929
27.2,23.916227
27.3,22.586052
27.4,21.018988
27.5,19.229101
27.6,17.232809
27.7,15.048736
27.8,12.697538
27.9,10.201708
28,7.585362
28.1,4.874006
28.2,2.094286
28.3,-0.726271
28.4,-3.559532
28.5,-6.377036
28.6,-9.150283
28.7,-11.851021
28.8,-14.451532
28.9,-16.924919
29,-19.245383
29.1,-21.388489
29.2,-23.331427
29.3,-25.053252
29.4,-26.535105
29.5,-27.760427
29.6,-28.71513
29.7,-29.387766
29.8,-29.769658
29.9,-29.855001
30,-29.640949
30.1,-29.127654
30.2,-28.318291
30.3,-27.219043
30.4,-25.839059
30.5,-24.190381
30.6,-22.287839
30.7,-20.148924
30.8,-17.793623
30.9,-15.244237
31,-12.525167
31.1,-9.662686
31.2,-6.684679
31.3,-3.620379
31.4,-0.500072
31.5,2.645195
31.6,5.783929
31.7,8.884501
31.8,11.915468
31.9,14.845892
32,17.645654
32.1,20.285762
32.2,22.738657
32.3,24.978491
32.4,26.981407
32.5,28.725789
32.6,30.192491
32.7,31.36505
32.8,32.229866
32.9,32.776359
33,32.997091
33.1,32.887862
33.2,32.447771
33.3,31.679247
33.4,30.588041
33.5,29.18319
33.6,27.476946
33.7,25.48467
33.8,23.224695
33.9,20.718159
34,17.988811
34.1,15.062782
34.2,11.968337
34.3,8.735604
34.4,5.39628
34.5,1.983318
34.6,-1.469394
34.7,-4.927373
34.8,-8.355884
34.9,-11.720288
35,-14.986393
35.1,-18.120804
35.2,-21.091257
35.3,-23.86696
35.4,-26.418902
35.5,-28.720166
35.6,-30.746204
35.7,-32.4751
35.8,-33.887809
35.9,-34.96836
36,-35.704039
36.1,-36.085529
36.2,-36.10703
36.3,-35.766331
36.4,-35.064856
36.5,-34.007666
36.6,-32.603432
36.7,-30.864362
36.8,-28.806102
36.9,-26.447596
37,-23.810911
37.1,-20.921032
37.2,-17.805628
37.3,-14.494785
37.4,-11.020718
37.5,-7.417455
37.6,-3.720507
37.7,0.033484
37.8,3.807106
37.9,7.562555
38,11.262006
38.1,14.868001
38.2,18.343823
38.3,21.653873
38.4,24.764035
38.5,27.642022
38.6,30.257717
38.7,32.583485
38.8,34.594463
38.9,36.268825
39,37.58802
39.1,38.536972
39.2,39.104251
39.3,39.282208
39.4,39.067069
39.5,38.458995
39.6,37.462098
39.7,36.08442
39.8,34.337874
39.9,32.238139
40,29.804526
40.1,27.059801
40.2,24.029967
40.3,20.744027
40.4,17.233701
40.5,13.533123
40.6,9.678507
40.7,5.707796
40.8,1.660285
40.9,-2.423765
41,-6.503529
41.1,-10.538026
41.2,-14.48653
41.3,-18.308981
41.4,-21.966392
41.5,-25.421246
41.6,-28.637882
41.7,-31.58286
41.8,-34.22531
41.9,-36.537255
42,-38.493905
42.1,-40.073923
42.2,-41.259655
42.3,-42.037326
42.4,-42.397196
42.5,-42.333676
42.6,-41.845408
42.7,-40.935293
42.8,-39.610485
42.9,-37.882338
43,-35.766314
43.1,-33.281841
43.2,-30.45214
43.3,-27.304009
43.4,-23.867568
43.5,-20.175975
43.6,-16.265101
43.7,-12.173186
43.8,-7.940464
43.9,-3.608768
44,0.778885
44.1,5.178719
44.2,9.546637
44.3,13.838664
44.4,18.011387
44.5,22.022397
44.6,25.830716
44.7,29.39722
44.8,32.685038
44.9,35.659933
45,38.290659
45.1,40.549286
45.2,42.411498
45.3,43.856853
45.4,44.869005
45.5,45.435885
45.6,45.549844
45.7,45.207748
45.8,44.411029
45.9,43.165689
46,41.482264
46.1,39.375732
46.2,36.865388
46.3,33.974662
46.4,30.730908
46.5,27.165141
46.6,23.311744
46.7,19.208135
46.8,14.894405
46.9,10.412926
47,5.807937
47.1,1.125103
47.2,-3.588934
47.3,-8.28702
47.4,-12.921963
47.5,-17.447004
47.6,-21.816292
47.7,-25.985344
47.8,-29.911503
47.9,-33.554371
48,-36.876224
48.1,-39.842403
48.2,-42.421676
48.3,-44.586566
48.4,-46.313638
48.5,-47.583759
48.6,-48.382302
48.7,-48.699312
48.8,-48.529629
48.9,-47.872955
49,-46.73388
49.1,-45.121853
49.2,-43.051111
49.3,-40.540551
49.4,-37.613561
49.5,-34.297805
49.6,-30.62496
49.7,-26.630415
49.8,-22.352928
49.9,-17.834256
50,-13.118743
50.1,-8.252884
50.2,-3.284871
50.3,1.735888
50.4,6.759256
50.5,11.734875
