x,X + Sin(x)
0,0
0.1,0.199833
0.2,0.398669
0.3,0.59552
0.4,0.789418
0.5,0.979426
0.6,1.164642
0.7,1.344218
0.8,1.517356
0.9,1.683327
1,1.841471
1.1,1.991207
1.2,2.132039
1.3,2.263558
1.4,2.38545
1.5,2.497495
1.6,2.599574
1.7,2.691665
1.8,2.773848
1.9,2.8463
2,2.909297
2.1,2.963209
2.2,3.008496
2.3,3.045705
2.4,3.075463
2.5,3.098472
2.6,3.115501
2.7,3.12738
2.8,3.134988
2.9,3.139249
3,3.14112
3.1,3.141581
3.2,3.141626
3.3,3.142254
3.4,3.144459
3.5,3.149217
3.6,3.15748
3.7,3.170164
3.8,3.188142
3.9,3.212234
4,3.243198
4.1,3.281723
4.2,3.328424
4.3,3.383834
4.4,3.448398
4.5,3.52247
4.6,3.606309
4.7,3.700077
4.8,3.803835
4.9,3.917547
5,4.041076
5.1,4.174185
5.2,4.316545
5.3,4.467733
5.4,4.627236
5.5,4.79446
5.6,4.968733
5.7,5.149314
5.8,5.335398
5.9,5.526123
6,5.720585
6.1,5.917837
6.2,6.116911
6.3,6.316814
6.4,6.516549
6.5,6.71512
6.6,6.911541
6.7,7.10485
6.8,7.294113
6.9,7.47844
7,7.656987
7.1,7.828969
7.2,7.993668
7.3,8.150437
7.4,8.298708
7.5,8.438
7.6,8.56792
7.7,8.688168
7.8,8.798543
7.9,8.898941
8,8.989358
8.1,9.06989
8.2,9.140731
8.3,9.202172
8.4,9.254599
8.5,9.298487
8.6,9.334397
8.7,9.362969
8.8,9.384917
8.9,9.401021
9,9.412118
9.1,9.419098
9.2,9.42289
9.3,9.424454
9.4,9.424775
9.5,9.424849
9.6,9.425673
9.7,9.428239
9.8,9.433521
9.9,9.442464
10,9.455979
10.1,9.474929
10.2,9.500125
10.3,9.532314
10.4,9.572174
10.5,9.620304
10.6,9.677225
10.7,9.743365
10.8,9.819064
10.9,9.904564
11,10.00001
11.1,10.105447
11.2,10.220822
11.3,10.345981
11.4,10.480671
11.5,10.624548
11.6,10.777171
11.7,10.938016
11.8,11.106475
11.9,11.281863
12,11.463427
12.1,11.650353
12.2,11.841771
12.3,12.036768
12.4,12.234396
12.5,12.433678
12.6,12.633623
12.7,12.833232
12.8,13.03151
12.9,13.227474
13,13.420167
13.1,13.608661
13.2,13.792074
13.3,13.96957
13.4,14.140376
13.5,14.303784
13.6,14.459162
13.7,14.605955
13.8,14.743696
13.9,14.872008
14,14.990607
14.1,15.099309
14.2,15.198027
14.3,15.286772
14.4,15.365658
14.5,15.434895
14.6,15.494791
14.7,15.545747
14.8,15.588252
14.9,15.622881
15,15.650288
15.1,15.671197
15.2,15.686399
15.3,15.696741
15.4,15.703118
15.5,15.706467
15.6,15.707754
15.7,15.707963
15.8,15.708093
15.9,15.709141
16,15.712097
16.1,15.717929
16.2,15.727578
16.3,15.741948
16.4,15.761893
16.5,15.788215
16.6,15.821648
16.7,15.862858
16.8,15.912433
16.9,15.970876
17,16.038603
17.1,16.115935
17.2,16.2031
17.3,16.300226
17.4,16.407341
17.5,16.524374
17.6,16.651156
17.7,16.787418
17.8,16.932798
17.9,17.086843
18,17.249013
18.1,17.418686
18.2,17.595167
18.3,17.777691
18.4,17.965434
18.5,18.157519
18.6,18.353026
18.7,18.551001
18.8,18.750464
18.9,18.950423
19,19.149877
19.1,19.347834
19.2,19.543315
19.3,19.735365
19.4,19.923066
19.5,20.10554
19.6,20.281964
19.7,20.451573
19.8,20.613674
19.9,20.767644
20,20.912945
20.1,21.049125
20.2,21.175821
20.3,21.292766
20.4,21.399793
20.5,21.49683
20.6,21.583907
20.7,21.661153
20.8,21.728795
20.9,21.787158
21,21.836656
21.1,21.877794
21.2,21.911161
21.3,21.937423
21.4,21.957315
21.5,21.971639
21.6,21.98125
21.7,21.987053
21.8,21.989987
21.9,21.991022
22,21.991149
22.1,21.991363
22.2,21.992664
22.3,21.996035
22.4,22.002444
22.5,22.012825
22.6,22.028074
22.7,22.049038
22.8,22.076505
22.9,22.111202
23,22.15378
23.1,22.204813
23.2,22.26479
23.3,22.334112
23.4,22.413084
23.5,22.501918
23.6,22.600724
23.7,22.709514
23.8,22.828202
23.9,22.956599
24,23.094422
24.1,23.241293
24.2,23.396744
24.3,23.560221
24.4,23.73109
24.5,23.908642
24.6,24.092103
24.7,24.280639
24.8,24.473365
24.9,24.669354
25,24.867648
25.1,25.067265
25.2,25.267208
25.3,25.46648
25.4,25.664089
25.5,25.859058
25.6,26.050441
25.7,26.237322
25.8,26.418835
25.9,26.594165
26,26.762558
26.1,26.923333
26.2,27.075881
26.3,27.219678
26.4,27.354285
26.5,27.479358
26.6,27.594645
26.7,27.699994
26.8,27.795351
26.9,27.880763
27,27.956376
27.1,28.022433
27.2,28.079273
27.3,28.127328
27.4,28.167116
27.5,28.19924
27.6,28.224377
27.7,28.243276
27.8,28.256746
27.9,28.265653
28,28.270906
28.1,28.273452
28.2,28.274265
28.3,28.274337
28.4,28.274664
28.5,28.276244
28.6,28.28006
28.7,28.287072
28.8,28.298211
28.9,28.314363
29,28.336366
29.1,28.365
29.2,28.400979
29.3,28.44494
29.4,28.497445
29.5,28.558969
29.6,28.629894
29.7,28.710513
29.8,28.801018
29.9,28.901505
30,29.011968
30.1,29.132304
30.2,29.262308
30.3,29.401682
30.4,29.550031
30.5,29.706873
30.6,29.871639
30.7,30.043683
30.8,30.222285
30.9,30.406659
31,30.595962
31.1,30.789303
31.2,30.985747
31.3,31.184333
31.4,31.384074
31.5,31.583974
31.6,31.783036
31.7,31.980268
31.8,32.1747
31.9,32.365388
32,32.551427
32.1,32.731955
32.2,32.906169
32.3,33.073328
32.4,33.232759
32.5,33.38387
32.6,33.52615
32.7,33.659176
32.8,33.782618
32.9,33.896242
33,33.999912
33.1,34.093591
33.2,34.177343
33.3,34.251329
33.4,34.31581
33.5,34.37114
33.6,34.417766
33.7,34.456222
33.8,34.487121
33.9,34.511155
34,34.529083
34.1,34.541724
34.2,34.549951
34.3,34.554682
34.4,34.556869
34.5,34.557487
34.6,34.557532
34.7,34.558001
34.8,34.559888
34.9,34.564175
35,34.571817
35.1,34.583738
35.2,34.600817
35.3,34.623882
35.4,34.653703
35.5,34.690981
35.6,34.736343
35.7,34.790333
35.8,34.853413
35.9,34.925951
36,35.008221
36.1,35.100401
36.2,35.202568
36.3,35.314702
36.4,35.43668
36.5,35.568283
36.6,35.709196
36.7,35.859009
36.8,36.017225
36.9,36.183263
37,36.356462
37.1,36.536091
37.2,36.721354
37.3,36.9114
37.4,37.105328
37.5,37.302201
37.6,37.50105
37.7,37.700888
37.8,37.900717
37.9,38.09954
38,38.296369
38.1,38.490236
38.2,38.680205
38.3,38.865375
38.4,39.044897
38.5,39.217975
38.6,39.383879
38.7,39.541951
38.8,39.69161
38.9,39.832361
39,39.963795
39.1,40.0856
39.2,40.197557
39.3,40.299547
39.4,40.39155
39.5,40.473645
39.6,40.546013
39.7,40.608927
39.8,40.662761
39.9,40.707973
40,40.745113
40.1,40.774808
40.2,40.79776
40.3,40.81474
40.4,40.826577
40.5,40.834151
40.6,40.838387
40.7,40.840241
40.8,40.840693
40.9,40.840739
41,40.841377
41.1,40.8436
41.2,40.848385
41.3,40.856683
41.4,40.869411
41.5,40.88744
41.6,40.911589
41.7,40.942617
41.8,40.981213
41.9,41.027989
42,41.083478
42.1,41.148125
42.2,41.222283
42.3,41.30621
42.4,41.400066
42.5,41.503913
42.6,41.617713
42.7,41.741328
42.8,41.874521
42.9,42.016962
43,42.168225
43.1,42.3278
43.2,42.495089
43.3,42.669422
43.4,42.850056
43.5,43.036184
43.6,43.226947
43.7,43.421437
43.8,43.618711
43.9,43.817796
44,44.017702
44.1,44.217431
44.2,44.415987
44.3,44.612385
44.4,44.805662
44.5,44.994885
44.6,45.179164
44.7,45.357656
44.8,45.529577
44.9,45.694208
45,45.850904
45.1,45.999097
45.2,46.138307
45.3,46.268142
45.4,46.388304
45.5,46.498591
45.6,46.5989
45.7,46.689229
45.8,46.769673
45.9,46.840429
46,46.901788
46.1,46.954137
46.2,46.997952
46.3,47.033794
46.4,47.062304
46.5,47.084197
46.6,47.100252
46.7,47.111309
46.8,47.118257
46.9,47.122024
47,47.123573
47.1,47.123888
47.2,47.123963
47.3,47.124799
47.4,47.127385
47.5,47.132695
47.6,47.141675
47.7,47.155234
47.8,47.174236
47.9,47.199491
48,47.231745
48.1,47.271676
48.2,47.319882
48.3,47.376883
48.4,47.443107
48.5,47.518892
48.6,47.604479
48.7,47.700014
48.8,47.80554
48.9,47.921003
49,48.046247
49.1,48.181021
49.2,48.324977
49.3,48.477676
49.4,48.638592
49.5,48.807115
49.6,48.982561
49.7,49.164177
49.8,49.351146
49.9,49.5426
50,49.737625
50.1,49.935272
50.2,50.134564
50.3,50.334511
50.4,50.534112
50.5,50.732374
50.6,50.928313
50.7,51.120973
50.8,51.309426
50.9,51.492789
51,51.670229
51.1,51.840973
51.2,52.004312
51.3,52.159616
51.4,52.30633
51.5,52.443989
51.6,52.572216
51.7,52.690728
51.8,52.799342
51.9,52.89797
52,52.986628
52.1,53.065427
52.2,53.134579
52.3,53.194394
52.4,53.245273
52.5,53.287705
52.6,53.322267
52.7,53.349613
52.8,53.370468
52.9,53.385622
53,53.395925
53.1,53.402272
53.2,53.405598
53.3,53.406871
53.4,53.407075
53.5,53.407209
53.6,53.40827
53.7,53.411246
53.8,53.417108
53.9,53.426795
54,53.441211
54.1,53.46121
54.2,53.487591
54.3,53.521091
54.4,53.562373
54.5,53.612024
54.6,53.670548
54.7,53.738358
54.8,53.815777
54.9,53.90303
55,54.000245
55.1,54.107448
55.2,54.224569
55.3,54.351436
55.4,54.487781
55.5,54.63324
55.6,54.78736
55.7,54.9496
55.8,55.119337
55.9,55.295875
56,55.478449
56.1,55.666234
56.2,55.858354
56.3,56.053887
56.4,56.251879
56.5,56.451351
56.6,56.65131
56.7,56.850755
56.8,57.048695
56.9,57.244149
57,57.436165
57.1,57.623823
57.2,57.806246
57.3,57.982613
57.4,58.152159
57.5,58.31419
57.6,58.468085
57.7,58.613307
57.8,58.749404
57.9,58.876014
58,58.992873
58.1,59.099811
58.2,59.196759
58.3,59.283748
58.4,59.360907
58.5,59.428466
58.6,59.486747
58.7,59.536169
58.8,59.577236
58.9,59.610537
59,59.636738
59.1,59.656577
59.2,59.670856
59.3,59.680429
59.4,59.686202
59.5,59.689115
59.6,59.690138
59.7,59.690261
59.8,59.690481
59.9,59.691795
60,59.695189
60.1,59.70163
60.2,59.71205
60.3,59.727346
60.4,59.748364
60.5,59.775892
60.6,59.810656
60.7,59.853307
60.8,59.904417
60.9,59.964476
61,60.033882
61.1,60.112942
61.2,60.201863
61.3,60.300758
61.4,60.409637
61.5,60.528411
61.6,60.656893
61.7,60.794799
61.8,60.941748
61.9,61.097274
62,61.260819
62.1,61.431751
62.2,61.609359
62.3,61.792869
62.4,61.981446
62.5,62.174204
62.6,62.370219
62.7,62.568529
62.8,62.768152
62.9,62.968094
63,63.167356
63.1,63.364945
63.2,63.559887
63.3,63.751233
63.4,63.938071
63.5,64.119532
63.6,64.294804
63.7,64.463133
63.8,64.623837
63.9,64.776309
64,64.920026
64.1,65.05455
64.2,65.179537
64.3,65.294736
64.4,65.399996
64.5,65.495265
64.6,65.580589
64.7,65.656116
64.8,65.722089
64.9,65.77885
65,65.826829
65.1,65.866546
65.2,65.898605
65.3,65.923683
65.4,65.94253
65.5,65.955956
65.6,65.964826
65.7,65.970051
65.8,65.972577
65.9,65.97338
66,65.973449
66.1,65.973783
66.2,65.975379
66.3,65.979219
66.4,65.986264
66.5,65.997443
66.6,66.013643
66.7,66.035702
66.8,66.064398
66.9,66.100445
67,66.14448
67.1,66.197063
67.2,66.258668
67.3,66.329679
67.4,66.410385
67.5,66.500979
67.6,66.601554
67.7,66.712106
67.8,66.832528
67.9,66.962617
68,67.102072
68.1,67.250499
68.2,67.407414
68.3,67.572248
68.4,67.744354
68.5,67.92301
68.6,68.107432
68.7,68.296775
68.8,68.490147
68.9,68.686615
69,68.885215
69.1,69.084962
69.2,69.284859
69.3,69.483909
69.4,69.681121
69.5,69.875524
69.6,70.066174
69.7,70.252167
69.8,70.432643
69.9,70.606798
70,70.773891
70.1,70.933251
70.2,71.084285
70.3,71.226485
70.4,71.359427
70.5,71.482782
70.6,71.596318
70.7,71.6999
70.8,71.79349
70.9,71.877154
71,71.951055
71.1,72.015453
71.2,72.070704
71.3,72.117255
71.4,72.15564
71.5,72.186476
71.6,72.210452
71.7,72.228329
71.8,72.240927
71.9,72.249119
72,72.253823
72.1,72.255991
72.2,72.256601
72.3,72.256645
72.4,72.257122
72.5,72.259026
72.6,72.263339
72.7,72.271015
72.8,72.282977
72.9,72.300106
73,72.323228
73.1,72.353112
73.2,72.39046
73.3,72.435895
73.4,72.489965
73.5,72.553127
73.6,72.62575
73.7,72.708108
