"x","Sin(x)","Cos(x)"
0.000000, 0.000000 , 1.000000
0.010507, 0.010506 , 0.999945
0.021013, 0.021012 , 0.999779
0.031520, 0.031514 , 0.999503
0.042026, 0.042014 , 0.999117
0.052533, 0.052509 , 0.998620
0.063039, 0.062998 , 0.998014
0.073546, 0.073480 , 0.997297
0.084052, 0.083954 , 0.996470
0.094559, 0.094418 , 0.995533
0.105066, 0.104872 , 0.994486
0.115572, 0.115315 , 0.993329
0.126079, 0.125745 , 0.992063
0.136585, 0.136161 , 0.990687
0.147092, 0.146562 , 0.989201
0.157598, 0.156947 , 0.987607
0.168105, 0.167314 , 0.985904
0.178611, 0.177663 , 0.984091
0.189118, 0.187993 , 0.982170
0.199625, 0.198301 , 0.980141
0.210131, 0.208588 , 0.978004
0.220638, 0.218852 , 0.975758
0.231144, 0.229091 , 0.973405
0.241651, 0.239306 , 0.970944
0.252157, 0.249494 , 0.968376
0.262664, 0.259654 , 0.965702
0.273170, 0.269786 , 0.962920
0.283677, 0.279888 , 0.960033
0.294184, 0.289959 , 0.957039
0.304690, 0.299998 , 0.953940
0.315197, 0.310003 , 0.950735
0.325703, 0.319975 , 0.947426
0.336210, 0.329911 , 0.944012
0.346716, 0.339811 , 0.940494
0.357223, 0.349674 , 0.936872
0.367729, 0.359498 , 0.933146
0.378236, 0.369282 , 0.929317
0.388743, 0.379025 , 0.925386
0.399249, 0.388727 , 0.921353
0.409756, 0.398385 , 0.917218
0.420262, 0.408000 , 0.912982
0.430769, 0.417570 , 0.908645
0.441275, 0.427093 , 0.904208
0.451782, 0.436569 , 0.899671
0.462288, 0.445998 , 0.895034
0.472795, 0.455376 , 0.890299
0.483302, 0.464705 , 0.885465
0.493808, 0.473983 , 0.880534
0.504315, 0.483208 , 0.875506
0.514821, 0.492379 , 0.870381
0.525328, 0.501497 , 0.865160
0.535834, 0.510559 , 0.859843
0.546341, 0.519564 , 0.854431
0.556848, 0.528513 , 0.848925
0.567354, 0.537403 , 0.843326
0.577861, 0.546233 , 0.837633
0.588367, 0.555003 , 0.831848
0.598874, 0.563713 , 0.825971
0.609380, 0.572359 , 0.820003
0.619887, 0.580943 , 0.813944
0.630393, 0.589463 , 0.807796
0.640900, 0.597917 , 0.801558
0.651407, 0.606306 , 0.795232
0.661913, 0.614627 , 0.788818
0.672420, 0.622881 , 0.782317
0.682926, 0.631066 , 0.775729
0.693433, 0.639181 , 0.769056
0.703939, 0.647226 , 0.762298
0.714446, 0.655199 , 0.755456
0.724952, 0.663100 , 0.748531
0.735459, 0.670928 , 0.741523
0.745966, 0.678681 , 0.734433
0.756472, 0.686360 , 0.727262
0.766979, 0.693963 , 0.720011
0.777485, 0.701489 , 0.712680
0.787992, 0.708938 , 0.705270
0.798498, 0.716309 , 0.697783
0.809005, 0.723601 , 0.690219
0.819511, 0.730812 , 0.682578
0.830018, 0.737944 , 0.674862
0.840525, 0.744993 , 0.667072
0.851031, 0.751961 , 0.659208
0.861538, 0.758845 , 0.651271
0.872044, 0.765645 , 0.643263
0.882551, 0.772362 , 0.635183
0.893057, 0.778992 , 0.627033
0.903564, 0.785537 , 0.618814
0.914070, 0.791995 , 0.610527
0.924577, 0.798366 , 0.602172
0.935084, 0.804649 , 0.593751
0.945590, 0.810842 , 0.585265
0.956097, 0.816947 , 0.576713
0.966603, 0.822961 , 0.568098
0.977110, 0.828884 , 0.559421
0.987616, 0.834716 , 0.550681
0.998123, 0.840455 , 0.541881
1.008629, 0.846102 , 0.533021
1.019136, 0.851656 , 0.524102
1.029643, 0.857115 , 0.515125
1.040149, 0.862480 , 0.506092
1.050656, 0.867749 , 0.497002
1.061162, 0.872923 , 0.487858
1.071669, 0.878001 , 0.478660
1.082175, 0.882981 , 0.469409
1.092682, 0.887864 , 0.460106
1.103188, 0.892649 , 0.450752
1.113695, 0.897336 , 0.441349
1.124202, 0.901923 , 0.431897
1.134708, 0.906411 , 0.422397
1.145215, 0.910799 , 0.412851
