"x", "f", "df", "d2f"
0.000000, 0.000000, 0.031417, 0.998516
0.031416, 0.000987, 0.062786, 1.496507
0.062832, 0.003945, 0.125446, 1.990952
0.094248, 0.008869, 0.187882, 1.981390
0.125664, 0.015750, 0.249940, 1.966998
0.157079, 0.024573, 0.311470, 1.949125
0.188495, 0.035320, 0.372406, 1.928054
0.219911, 0.047972, 0.432614, 1.902803
0.251327, 0.062502, 0.491963, 1.873420
0.282743, 0.078883, 0.550325, 1.840237
0.314159, 0.097080, 0.607588, 1.803762
0.345575, 0.117059, 0.663659, 1.763740
0.376991, 0.138779, 0.718408, 1.719666
0.408407, 0.162198, 0.771709, 1.672254
0.439823, 0.187267, 0.823479, 1.621378
0.471238, 0.213938, 0.873582, 1.566741
0.502654, 0.242155, 0.921919, 1.509204
0.534070, 0.271864, 0.968408, 1.448380
0.565486, 0.303002, 1.012923, 1.384801
0.596902, 0.335508, 1.055418, 1.317929
0.628318, 0.369316, 1.095731, 1.247511
0.659734, 0.404355, 1.133801, 1.175067
0.691150, 0.440555, 1.169563, 1.099836
0.722566, 0.477841, 1.202906, 1.021879
0.753982, 0.516136, 1.233770, 0.941097
0.785397, 0.555360, 1.262036, 0.857634
0.816813, 0.595431, 1.287656, 0.772757
0.848229, 0.636266, 1.310590, 0.685688
0.879645, 0.677778, 1.330739, 0.596272
0.911061, 0.719879, 1.348055, 0.505337
0.942477, 0.762479, 1.362490, 0.412882
0.973893, 0.805487, 1.373997, 0.318400
1.005309, 0.848810, 1.382496, 0.222146
1.036725, 0.892352, 1.387955, 0.125737
1.068141, 0.936018, 1.390396, 0.027709
1.099556, 0.979712, 1.389696, -0.072544
1.130972, 1.023334, 1.385838, -0.172344
1.162388, 1.066787, 1.378867, -0.272553
1.193804, 1.109971, 1.368713, -0.374127
1.225220, 1.152786, 1.355360, -0.475447
1.256636, 1.195131, 1.338840, -0.576768
1.288052, 1.236908, 1.319121, -0.678849
1.319468, 1.278014, 1.296187, -0.780676
1.350884, 1.318350, 1.270069, -0.881682
1.382300, 1.357815, 1.240789, -0.982520
1.413715, 1.396310, 1.208337, -1.083450
1.445131, 1.433736, 1.172715, -1.183225
1.476547, 1.469994, 1.133992, -1.281454
1.507963, 1.504987, 1.092198, -1.378722
1.539379, 1.538619, 1.047364, -1.475230
1.570795, 1.570795, 0.999507, -1.570471
1.602211, 1.601420, 0.948689, -1.663686
1.633627, 1.630403, 0.894974, -1.755128
1.665043, 1.657653, 0.838410, -1.844853
1.696459, 1.683082, 0.779058, -1.933048
1.727874, 1.706602, 0.716955, -2.019045
1.759290, 1.728129, 0.652200, -2.102080
1.790706, 1.747581, 0.584877, -2.182955
1.822122, 1.764878, 0.515040, -2.261478
1.853538, 1.779942, 0.442784, -2.336962
1.884954, 1.792699, 0.368204, -2.409660
1.916370, 1.803077, 0.291380, -2.479571
1.947786, 1.811007, 0.212408, -2.546189
1.979202, 1.816423, 0.131398, -2.609503
2.010618, 1.819263, 0.048447, -2.669852
2.042033, 1.819467, -0.036351, -2.726343
2.073449, 1.816979, -0.122851, -2.778965
2.104865, 1.811748, -0.210959, -2.828621
2.136281, 1.803724, -0.300579, -2.874215
2.167697, 1.792862, -0.391552, -2.915503
2.199113, 1.779122, -0.483766, -2.953245
2.230529, 1.762466, -0.577110, -2.986935
2.261945, 1.742861, -0.671441, -3.016318
2.293361, 1.720278, -0.766632, -3.041613
2.324777, 1.694692, -0.862552, -3.062457
2.356192, 1.666083, -0.959049, -3.078714
2.387608, 1.634434, -1.055991, -3.090799
2.419024, 1.599733, -1.153250, -3.098387
2.450440, 1.561973, -1.250668, -3.101174
2.481856, 1.521151, -1.348103, -3.099907
2.513272, 1.477269, -1.445442, -3.094081
2.544688, 1.430331, -1.542510, -3.082936
2.576104, 1.380350, -1.639149, -3.067231
2.607520, 1.327340, -1.735230, -3.047431
2.638936, 1.271322, -1.830625, -3.022933
2.670351, 1.212320, -1.925164, -2.992598
2.701767, 1.150362, -2.018653, -2.957824
2.733183, 1.085484, -2.111010, -2.919303
2.764599, 1.017723, -2.202079, -2.875735
2.796015, 0.947123, -2.291698, -2.827608
2.827431, 0.873731, -2.379743, -2.774414
