"x","y","z"
0.000000, 0.000000 , 0.000000
0.003152, 0.003152 , 0.003152
0.006304, 0.006304 , 0.006304
0.009456, 0.009456 , 0.009456
0.012608, 0.012608 , 0.012608
0.015760, 0.015759 , 0.015759
0.018912, 0.018911 , 0.018911
0.022064, 0.022062 , 0.022062
0.025216, 0.025213 , 0.025213
0.028368, 0.028364 , 0.028364
0.031520, 0.031514 , 0.031514
0.034672, 0.034665 , 0.034665
0.037824, 0.037815 , 0.037815
0.040976, 0.040964 , 0.040964
0.044128, 0.044113 , 0.044113
0.047280, 0.047262 , 0.047262
0.050431, 0.050410 , 0.050410
0.053583, 0.053558 , 0.053558
0.056735, 0.056705 , 0.056705
0.059887, 0.059852 , 0.059852
0.063039, 0.062998 , 0.062998
0.066191, 0.066143 , 0.066143
0.069343, 0.069288 , 0.069288
0.072495, 0.072432 , 0.072432
0.075647, 0.075575 , 0.075575
0.078799, 0.078718 , 0.078718
0.081951, 0.081859 , 0.081859
0.085103, 0.085000 , 0.085000
0.088255, 0.088141 , 0.088141
0.091407, 0.091280 , 0.091280
0.094559, 0.094418 , 0.094418
0.097711, 0.097556 , 0.097556
0.100863, 0.100692 , 0.100692
0.104015, 0.103827 , 0.103827
0.107167, 0.106962 , 0.106962
0.110319, 0.110095 , 0.110095
0.113471, 0.113227 , 0.113227
0.116623, 0.116359 , 0.116359
0.119775, 0.119489 , 0.119489
0.122927, 0.122617 , 0.122617
0.126079, 0.125745 , 0.125745
0.129231, 0.128871 , 0.128871
0.132383, 0.131996 , 0.131996
0.135535, 0.135120 , 0.135120
0.138687, 0.138242 , 0.138242
0.141839, 0.141363 , 0.141363
0.144990, 0.144483 , 0.144483
0.148142, 0.147601 , 0.147601
0.151294, 0.150718 , 0.150718
0.154446, 0.153833 , 0.153833
0.157598, 0.156947 , 0.156947
0.160750, 0.160059 , 0.160059
0.163902, 0.163169 , 0.163169
0.167054, 0.166278 , 0.166278
0.170206, 0.169386 , 0.169386
0.173358, 0.172491 , 0.172491
0.176510, 0.175595 , 0.175595
0.179662, 0.178697 , 0.178697
0.182814, 0.181797 , 0.181797
0.185966, 0.184896 , 0.184896
0.189118, 0.187993 , 0.187993
0.192270, 0.191088 , 0.191088
0.195422, 0.194180 , 0.194180
0.198574, 0.197271 , 0.197271
0.201726, 0.200361 , 0.200361
0.204878, 0.203448 , 0.203448
0.208030, 0.206533 , 0.206533
0.211182, 0.209616 , 0.209616
0.214334, 0.212696 , 0.212696
0.217486, 0.215775 , 0.215775
0.220638, 0.218852 , 0.218852
0.223790, 0.221926 , 0.221926
0.226942, 0.224999 , 0.224999
0.230094, 0.228069 , 0.228069
0.233246, 0.231136 , 0.231136
0.236398, 0.234202 , 0.234202
0.239549, 0.237265 , 0.237265
0.242701, 0.240326 , 0.240326
0.245853, 0.243384 , 0.243384
0.249005, 0.246440 , 0.246440
0.252157, 0.249494 , 0.249494
0.255309, 0.252545 , 0.252545
0.258461, 0.255593 , 0.255593
0.261613, 0.258639 , 0.258639
0.264765, 0.261683 , 0.261683
0.267917, 0.264724 , 0.264724
0.271069, 0.267762 , 0.267762
0.274221, 0.270797 , 0.270797
0.277373, 0.273830 , 0.273830
0.280525, 0.276860 , 0.276860
0.283677, 0.279888 , 0.279888
0.286829, 0.282912 , 0.282912
0.289981, 0.285934 , 0.285934
0.293133, 0.288953 , 0.288953
0.296285, 0.291969 , 0.291969
0.299437, 0.294982 , 0.294982
0.302589, 0.297992 , 0.297992
0.305741, 0.301000 , 0.301000
0.308893, 0.304004 , 0.304004
0.312045, 0.307005 , 0.307005
0.315197, 0.310003 , 0.310003
0.318349, 0.312999 , 0.312999
0.321501, 0.315991 , 0.315991
0.324653, 0.318980 , 0.318980
0.327805, 0.321965 , 0.321965
0.330957, 0.324948 , 0.324948
0.334109, 0.327927 , 0.327927
0.337260, 0.330903 , 0.330903
0.340412, 0.333876 , 0.333876
0.343564, 0.336845 , 0.336845
0.346716, 0.339811 , 0.339811
0.349868, 0.342774 , 0.342774
0.353020, 0.345733 , 0.345733
0.356172, 0.348689 , 0.348689
0.359324, 0.351642 , 0.351642
0.362476, 0.354591 , 0.354591
0.365628, 0.357536 , 0.357536
0.368780, 0.360478 , 0.360478
0.371932, 0.363416 , 0.363416
0.375084, 0.366351 , 0.366351
0.378236, 0.369282 , 0.369282
0.381388, 0.372209 , 0.372209
0.384540, 0.375133 , 0.375133
0.387692, 0.378053 , 0.378053
0.390844, 0.380969 , 0.380969
0.393996, 0.383881 , 0.383881
0.397148, 0.386790 , 0.386790
0.400300, 0.389694 , 0.389694
0.403452, 0.392595 , 0.392595
0.406604, 0.395492 , 0.395492
0.409756, 0.398385 , 0.398385
0.412908, 0.401274 , 0.401274
0.416060, 0.404159 , 0.404159
0.419212, 0.407040 , 0.407040
0.422364, 0.409917 , 0.409917
0.425516, 0.412790 , 0.412790
0.428668, 0.415659 , 0.415659
0.431819, 0.418524 , 0.418524
0.434971, 0.421385 , 0.421385
0.438123, 0.424241 , 0.424241
0.441275, 0.427093 , 0.427093
0.444427, 0.429941 , 0.429941
0.447579, 0.432785 , 0.432785
0.450731, 0.435624 , 0.435624
0.453883, 0.438459 , 0.438459
0.457035, 0.441290 , 0.441290
0.460187, 0.444116 , 0.444116
0.463339, 0.446938 , 0.446938
0.466491, 0.449755 , 0.449755
0.469643, 0.452568 , 0.452568
0.472795, 0.455376 , 0.455376
0.475947, 0.458180 , 0.458180
0.479099, 0.460980 , 0.460980
0.482251, 0.463775 , 0.463775
0.485403, 0.466565 , 0.466565
0.488555, 0.469350 , 0.469350
0.491707, 0.472131 , 0.472131
0.494859, 0.474907 , 0.474907
0.498011, 0.477679 , 0.477679
0.501163, 0.480446 , 0.480446
0.504315, 0.483208 , 0.483208
0.507467, 0.485965 , 0.485965
0.510619, 0.488717 , 0.488717
0.513771, 0.491465 , 0.491465
0.516923, 0.494207 , 0.494207
0.520075, 0.496945 , 0.496945
0.523227, 0.499678 , 0.499678
0.526378, 0.502405 , 0.502405
0.529530, 0.505128 , 0.505128
0.532682, 0.507846 , 0.507846
0.535834, 0.510559 , 0.510559
0.538986, 0.513266 , 0.513266
0.542138, 0.515969 , 0.515969
0.545290, 0.518666 , 0.518666
0.548442, 0.521359 , 0.521359
0.551594, 0.524046 , 0.524046
0.554746, 0.526728 , 0.526728
0.557898, 0.529404 , 0.529404
